DATE,Federal Funds Effective,Federal Surplus/Deficit,CPI (Inflation),Unemployment Rate,Federal Tax Receipts,Foreign Direct Investment,GDP by Billion
2000-01-01,5.678921023359288,-4987.333333333333,3.3533333333333335,4.033333333333333,1272.073,207400.0,10002.179
2000-04-01,6.272021505376344,70591.33333333333,2.7566666666666664,3.9333333333333336,1284.187,365568.0,10247.72
2000-07-01,6.519430107526882,20127.0,3.1300000000000003,4.0,1291.65,318888.0,10318.165
2000-10-01,6.47531541218638,-781.6666666666666,2.8833333333333333,3.9,1306.215,389484.0,10435.744
2001-01-01,5.5936866359447,-7483.666666666667,3.3033333333333332,4.233333333333333,1301.0,236820.0,10470.231
2001-04-01,4.327974910394265,64579.666666666664,3.3866666666666667,4.3999999999999995,1291.202,238256.0,10599.0
2001-07-01,3.4968709677419354,-13889.666666666666,3.01,4.833333333333333,1104.283,56512.0,10598.02
2001-10-01,2.129967741935484,-11785.333333333334,3.3666666666666667,5.5,1210.806,140596.0,10660.465
2002-01-01,1.7331067588325653,-32188.333333333332,3.0033333333333334,5.7,1055.567,98976.0,10783.5
2002-04-01,1.7515412186379928,5203.333333333333,2.533333333333333,5.833333333333333,1051.808,29880.0,10887.46
2002-07-01,1.7409749103942653,-13826.666666666666,2.42,5.733333333333333,1047.885,57312.0,10984.04
2002-10-01,1.4430752688172044,-36078.666666666664,2.4099999999999997,5.866666666666667,1057.477,157664.0,11061.433
2003-01-01,1.2500691244239632,-48302.333333333336,1.7633333333333334,5.866666666666667,1062.924,153156.0,11174.129
2003-04-01,1.2465663082437277,-5523.666666666667,0.9166666666666666,6.133333333333333,1074.61,-16232.0,11312.766
2003-07-01,1.0167741935483872,-35808.333333333336,2.35,6.133333333333333,994.708,28.0,11566.669
2003-10-01,0.996731182795699,-43385.333333333336,1.6966666666666665,5.833333333333333,1083.214,141096.0,11772.234
2004-01-01,1.0019836855765665,-57082.333333333336,2.62,5.7,1086.156,110320.0,11923.447
2004-04-01,1.011394265232975,-8587.0,2.8266666666666667,5.599999999999999,1122.2,136672.0,12112.815
2004-07-01,1.4326344086021505,-28560.333333333332,2.263333333333333,5.433333333333334,1165.545,142076.0,12305.307
2004-10-01,1.949698924731183,-38783.0,2.02,5.433333333333334,1188.485,217856.0,12527.214
2005-01-01,2.470057603686636,-59135.666666666664,2.873333333333333,5.3,1326.264,159904.0,12767.286
2005-04-01,2.9410824372759854,14735.666666666666,2.296666666666667,5.1000000000000005,1343.299,-32020.0,12922.656
2005-07-01,3.461752688172043,-23065.666666666668,3.09,4.966666666666667,1374.911,155876.0,13142.642
2005-10-01,3.9784838709677417,-39794.0,2.7900000000000005,4.966666666666667,1426.819,182860.0,13324.204
2006-01-01,4.45531490015361,-61184.666666666664,2.6766666666666663,4.733333333333333,1492.519,180936.0,13599.16
2006-04-01,4.907218637992831,32150.333333333332,3.4600000000000004,4.633333333333333,1518.932,266208.0,13753.424
2006-07-01,5.245426523297491,-13904.666666666666,3.26,4.633333333333334,1557.724,226284.0,13870.188
2006-10-01,5.242964157706093,-26800.666666666668,3.1333333333333333,4.433333333333334,1569.927,315876.0,14039.56
2007-01-01,5.254696620583718,-59342.333333333336,3.3666666666666667,4.5,1606.513,205600.0,14215.651
2007-04-01,5.252405017921148,45818.666666666664,2.6633333333333336,4.5,1619.091,268396.0,14402.082
2007-07-01,5.072881720430107,-13518.0,2.9033333333333338,4.666666666666667,1602.248,351856.0,14564.117
2007-10-01,4.495555555555556,-35605.0,3.296666666666667,4.8,1602.775,85004.0,14715.058
2008-01-01,3.1771116054875788,-68645.33333333333,3.06,5.0,1551.383,362076.0,14706.538
2008-04-01,2.085906810035842,8967.333333333334,2.9166666666666665,5.333333333333333,1528.239,274716.0,14865.701
2008-07-01,1.9392652329749105,-56315.666666666664,3.3666666666666667,6.0,1494.271,259444.0,14898.999
2008-10-01,0.5040609318996415,-110829.33333333333,1.5,6.866666666666667,1384.171,377564.0,14608.209
2009-01-01,0.18566052227342547,-149635.0,2.15,8.266666666666667,1144.195,-1288.0,14430.902
2009-04-01,0.17802867383512544,-101630.0,1.3033333333333335,9.299999999999999,1102.464,128724.0,14381.236
2009-07-01,0.15426523297491038,-109814.0,0.89,9.633333333333333,1104.113,226532.0,14448.882
2009-10-01,0.1183763440860215,-129353.33333333333,0.7233333333333333,9.933333333333334,1143.889,276984.0,14651.249
2010-01-01,0.13364823348694316,-109643.33333333333,0.09333333333333337,9.833333333333334,1213.369,152096.0,14764.61
2010-04-01,0.19188172043010754,-95679.33333333333,0.6633333333333333,9.633333333333333,1257.379,127132.0,14980.193
2010-07-01,0.1888673835125448,-96725.33333333333,0.8666666666666667,9.466666666666667,1297.148,334432.0,15141.607
2010-10-01,0.18961648745519713,-122986.66666666667,1.28,9.5,1326.495,228520.0,15309.474
2011-01-01,0.1546274961597542,-153485.66666666666,2.276666666666667,9.033333333333333,1458.521,170096.0,15351.448
2011-04-01,0.09462365591397849,-47036.0,2.1633333333333336,9.066666666666666,1476.191,247568.0,15557.539
2011-07-01,0.08359139784946236,-108756.33333333333,2.736666666666667,9.0,1471.733,270528.0,15647.68
2011-10-01,0.07441935483870969,-107245.0,2.08,8.633333333333333,1507.169,280432.0,15842.259
2012-01-01,0.10416759362254358,-152413.66666666666,2.433333333333333,8.266666666666667,1529.118,155892.0,16068.805
2012-04-01,0.15226881720430108,-41753.333333333336,1.9799999999999998,8.2,1556.654,303700.0,16207.115
2012-07-01,0.14434767025089607,-61652.333333333336,2.263333333333333,8.033333333333333,1575.77,175072.0,16319.541
2012-10-01,0.16118996415770612,-97766.0,1.9133333333333333,7.8,1630.259,211204.0,16420.419
2013-01-01,0.14370967741935484,-102394.33333333333,2.1366666666666667,7.733333333333333,1710.991,142684.0,16648.189
2013-04-01,0.11589964157706094,30219.333333333332,2.063333333333333,7.533333333333334,1730.865,256596.0,16728.687
2013-07-01,0.08516129032258064,-56796.0,2.1266666666666665,7.233333333333333,1753.758,243816.0,16953.838
2013-10-01,0.08553046594982079,-57530.666666666664,2.203333333333333,6.933333333333334,1783.928,225996.0,17192.019
2014-01-01,0.07203533026113672,-80225.66666666667,2.54,6.666666666666667,1865.024,-293968.0,17197.738
2014-04-01,0.09103225806451613,15800.333333333334,2.0233333333333334,6.2,1903.372,316280.0,17518.508
2014-07-01,0.08912186379928315,-39165.0,2.03,6.066666666666666,1900.394,424204.0,17804.228
2014-10-01,0.10120430107526883,-58889.0,2.356666666666667,5.7,1933.008,401432.0,17912.079
2015-01-01,0.11281874039938555,-86755.01997678667,2.11,5.533333333333334,2017.75,956604.0,18063.529
2015-04-01,0.12563082437275985,42034.85467391667,2.81,5.433333333333334,2045.283,374936.0,18279.784
2015-07-01,0.13479569892473117,-40848.91831032666,2.1866666666666665,5.1000000000000005,2026.616,254312.0,18401.626
2015-10-01,0.1606200716845878,-71842.98274912,2.1266666666666665,5.033333333333333,2013.189,349540.0,18435.137
2016-01-01,0.360111234705228,-81831.14797675,2.49,4.8999999999999995,2001.701,566720.0,18525.933
2016-04-01,0.3693870967741935,20065.482144100002,3.0700000000000003,4.933333333333334,2011.666,606940.0,18711.702
2016-07-01,0.3949068100358423,-62189.106709859996,2.5766666666666667,4.8999999999999995,2036.51,475284.0,18892.639
2016-10-01,0.4477060931899641,-69452.85814632,2.1733333333333333,4.766666666666667,2034.647,271120.0,19089.379
2017-01-01,0.6975307219662058,-105673.20433350334,2.8800000000000003,4.566666666666666,1943.31,393588.0,19280.084
2017-04-01,0.9478064516129033,1256.290737286666,1.8533333333333333,4.366666666666667,1982.371,315376.0,19438.643
2017-07-01,1.1536917562724012,-47542.69048187334,2.42,4.333333333333333,2021.546,282788.0,19692.595
2017-10-01,1.2041612903225807,-74985.00509108666,2.6,4.166666666666667,2051.989,308540.0,20037.088
2018-01-01,1.4460483870967742,-124918.56717478666,2.7133333333333334,4.033333333333333,1987.756,132968.0,20328.553
2018-04-01,1.7373333333333332,-2466.4400539366616,2.8466666666666662,3.9333333333333336,2017.635,-36956.0,20580.912
2018-07-01,1.9265017921146954,-57298.915423646664,2.2466666666666666,3.766666666666667,2039.255,419264.0,20798.73
2018-10-01,2.219867383512545,-106311.01952418666,3.08,3.8333333333333335,2069.109,350384.0,20917.867
2019-01-01,2.401720430107527,-124079.71595657,3.1533333333333338,3.8666666666666667,2083.23,266372.0,21104.133
2019-04-01,2.3974336917562726,-18646.733630340008,2.8833333333333333,3.6333333333333333,2096.405,259956.0,21384.775
2019-07-01,2.190569892473118,-79090.83221927,2.6933333333333334,3.6,2103.13,206888.0,21694.282
2019-10-01,1.6446594982078853,-118859.47223565668,2.8633333333333333,3.6,2170.01,293536.0,21902.39
2020-01-01,1.2620022246941047,-129017.88620007667,2.9633333333333334,3.8333333333333335,2168.958,99852.0,21706.513
2020-04-01,0.0588888888888889,-666915.36774368,2.183333333333333,13.0,1987.868,75584.0,19913.143
2020-07-01,0.09258064516129033,-129232.43330713,2.3266666666666667,8.799999999999999,2171.673,131360.0,21647.64
2020-10-01,0.08877777777777777,-190966.3760472733,1.5599999999999998,6.733333333333333,2304.488,145908.0,22024.502
2021-01-01,0.0768509984639017,-377782.0168042633,2.23,6.233333333333333,2456.931,255556.0,22600.185
2021-04-01,0.06835483870967742,-177231.02458538,3.0866666666666664,5.933333333333334,2612.724,349196.0,23292.362
2021-07-01,0.08988530465949822,-178076.46440601666,4.216666666666666,5.066666666666666,2693.293,539160.0,23828.973
2021-10-01,0.07945878136200718,-125897.84562681666,6.506666666666667,4.166666666666667,2792.571,499196.0,24654.603
2022-01-01,0.12010752688172044,-96857.76015710668,6.62,3.8000000000000003,3071.603,327296.0,25029.116
2022-04-01,0.7668279569892474,51050.32879703999,7.1499999999999995,3.6333333333333333,3128.442,360620.0,25544.273
2022-07-01,2.186935483870968,-286773.8266539133,7.753333333333334,3.533333333333333,3131.082,463364.0,25994.639
2022-10-01,3.654731182795699,-140444.48451394998,6.4433333333333325,3.5666666666666664,3077.903,304884.0,26408.405
2023-01-01,4.516344086021506,-226431.31050172998,6.976666666666667,3.5,2781.062,438820.0,26813.601
2023-04-01,4.987379928315412,-97311.95394909999,4.6433333333333335,3.5666666666666664,2788.722,306668.0,27063.012
2023-07-01,5.260000000000001,-100836.24184488335,3.98,3.6999999999999997,2803.825,364210.0,27610.128
2023-10-01,5.33,-169980.32277887,4.69,3.733333333333333,,,27938.831
2024-01-01,5.33,,,3.7,,,
